Order_ID,Product_Category,Product_Price,Order_Quantity,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Seller_Rating,Product_Rating,Previous_Returns,Customer_Type,Product_Review_Count,Order_Value
ORD100075,Toys,1727.4,5,67,Female,City43,Gift Card,Next-Day,29.73,4.5,4.1,0,New,1472,8637.0
ORD100076,Electronics,77425.69,5,36,Male,City53,Debit Card,Next-Day,14.61,3.0,3.2,8,Regular,922,387128.45
ORD100077,Electronics,97627.38,5,34,Male,City24,PayPal,Standard,11.91,4.9,4.0,3,Regular,2455,488136.9
ORD100078,Books,702.57,2,31,Female,City34,PayPal,Standard,5.1,3.3,2.7,7,Frequent,860,1405.14
ORD100079,Toys,1311.61,2,39,Male,City57,Debit Card,Express,36.48,3.0,3.4,8,Frequent,445,2623.22
ORD100080,Electronics,89923.99,5,58,Male,City14,Debit Card,Standard,16.89,4.8,4.8,0,Frequent,789,449619.95
ORD100081,Electronics,19795.74,1,50,Male,City8,Debit Card,Express,6.81,4.7,4.4,2,Frequent,1118,19795.74
ORD100082,Clothing,2498.59,5,39,Male,City10,Gift Card,Standard,20.05,3.5,2.8,3,Regular,3079,12492.95
ORD100083,Electronics,20090.03,5,67,Male,City36,Gift Card,Next-Day,5.91,3.8,3.6,2,Frequent,1710,100450.15
ORD100084,Electronics,25317.32,1,21,Female,City100,Debit Card,Standard,15.8,3.4,4.1,8,Regular,1336,25317.32
ORD100085,Books,1759.93,3,51,Male,City28,PayPal,Standard,12.11,3.9,4.3,0,Loyal,1407,5279.79
ORD100086,Home,19868.53,3,49,Male,City95,Credit Card,Next-Day,16.61,4.5,4.1,0,Frequent,1367,59605.59
ORD100087,Home,10470.24,2,63,Female,City52,Credit Card,Next-Day,29.51,4.6,4.8,3,Regular,1231,20940.48
ORD100088,Books,1937.36,4,22,Female,City71,PayPal,Standard,5.97,5.0,4.3,0,New,303,7749.44
ORD100089,Electronics,100192.14,2,23,Female,City1,Credit Card,Express,5.55,3.5,3.7,8,Regular,2692,200384.28
ORD100090,Home,1727.48,3,28,Male,City4,PayPal,Next-Day,32.67,4.8,4.3,1,New,1277,5182.44
ORD100091,Toys,8997.1,3,56,Male,City11,PayPal,Express,11.42,4.8,4.0,2,Frequent,870,26991.3
ORD100092,Toys,422.19,1,29,Female,City17,PayPal,Next-Day,20.9,3.2,3.9,8,Regular,539,422.19
ORD100093,Home,14552.62,4,66,Female,City25,Gift Card,Next-Day,27.52,3.6,4.1,3,Regular,667,58210.48
ORD100094,Home,27271.14,2,69,Male,City10,Credit Card,Next-Day,32.92,4.2,4.1,8,Regular,1981,54542.28
ORD100095,Clothing,4699.57,1,39,Female,City97,Gift Card,Standard,22.52,4.8,4.2,0,Regular,1577,4699.57
ORD100096,Books,374.51,1,62,Male,City10,PayPal,Standard,9.96,4.5,4.8,3,Regular,782,374.51
ORD100097,Toys,5172.35,4,53,Male,City88,Gift Card,Next-Day,28.13,3.7,2.8,7,New,1711,20689.4
ORD100098,Toys,3738.12,2,58,Female,City46,Credit Card,Standard,28.92,2.8,3.2,3,Frequent,1392,7476.24
ORD100099,Clothing,4210.53,5,18,Female,City83,Gift Card,Express,25.13,4.9,3.9,3,Regular,3473,21052.65
ORD100100,Books,980.01,1,42,Male,City12,Credit Card,Next-Day,9.37,4.0,2.8,7,New,566,980.01
ORD100101,Clothing,2362.47,4,48,Female,City59,Credit Card,Next-Day,30.41,3.9,4.7,1,Regular,2758,9449.88
ORD100102,Books,1878.98,5,40,Male,City40,Credit Card,Next-Day,13.13,3.4,3.5,8,Regular,475,9394.9
ORD100103,Books,1774.16,4,23,Female,City66,Debit Card,Express,8.34,4.3,4.5,1,Loyal,395,7096.64
ORD100104,Electronics,30901.93,4,48,Female,City27,Debit Card,Next-Day,8.48,4.2,3.8,3,New,643,123607.72
ORD100105,Home,1762.12,3,48,Female,City27,PayPal,Next-Day,21.12,4.1,2.9,9,Regular,157,5286.36
ORD100106,Home,26367.1,4,66,Female,City14,Debit Card,Standard,21.92,3.9,4.4,2,Loyal,2472,105468.4
ORD100107,Books,1994.74,2,60,Male,City20,Gift Card,Express,18.65,4.3,3.3,4,Regular,344,3989.48
ORD100108,Toys,405.26,2,48,Male,City22,PayPal,Standard,28.69,4.7,4.7,2,Regular,1323,810.52
ORD100109,Books,422.04,3,24,Male,City83,Debit Card,Express,12.75,4.8,4.8,0,Regular,1215,1266.12
ORD100110,Clothing,1349.38,4,37,Male,City95,Credit Card,Express,27.96,4.0,4.7,1,New,1533,5397.52
ORD100111,Toys,6570.54,1,37,Female,City36,Gift Card,Next-Day,13.32,4.9,4.5,3,Regular,653,6570.54
ORD100112,Home,29664.34,5,50,Female,City71,PayPal,Express,17.14,3.2,3.6,8,Frequent,2487,148321.7
ORD100113,Clothing,2664.12,2,55,Female,City90,Credit Card,Next-Day,24.39,4.2,2.8,3,New,2177,5328.24
ORD100114,Clothing,4005.97,3,45,Male,City8,Debit Card,Standard,26.24,3.9,4.7,2,New,3969,12017.91
ORD100115,Electronics,89861.75,4,54,Male,City26,Gift Card,Standard,14.31,5.0,4.0,3,Regular,2958,359447.0
ORD100116,Toys,4892.21,4,59,Female,City9,Credit Card,Next-Day,25.7,2.9,3.5,6,New,1741,19568.84
ORD100117,Books,1138.67,4,42,Female,City73,PayPal,Express,6.16,3.0,3.2,7,Regular,1372,4554.68
ORD100118,Electronics,89196.33,4,57,Male,City89,Credit Card,Next-Day,7.02,3.3,3.4,3,Regular,2301,356785.32
ORD100119,Books,1504.76,2,56,Female,City7,Credit Card,Next-Day,15.06,3.8,2.8,9,Regular,1446,3009.52
ORD100120,Clothing,4449.05,2,31,Male,City27,Gift Card,Next-Day,22.51,4.8,4.9,1,Regular,2464,8898.1
ORD100121,Books,1670.86,5,29,Female,City34,PayPal,Standard,17.33,2.8,4.2,3,Regular,574,8354.3
ORD100122,Toys,4676.13,2,37,Male,City69,Gift Card,Next-Day,26.67,4.2,4.4,0,Regular,1970,9352.26
ORD100123,Home,11342.98,3,69,Female,City20,PayPal,Standard,11.2,4.0,4.6,1,Regular,217,34028.94
ORD100124,Electronics,78861.97,2,37,Female,City23,Credit Card,Express,17.29,3.1,4.0,7,Frequent,2825,157723.94
ORD100125,Books,349.36,2,54,Male,City65,PayPal,Express,14.32,4.8,4.2,3,Regular,273,698.72
ORD100126,Home,16654.51,2,48,Male,City52,Gift Card,Next-Day,27.37,4.0,4.1,1,New,1785,33309.02
ORD100127,Home,23148.13,2,57,Male,City76,Credit Card,Standard,27.01,4.3,4.4,1,New,1831,46296.26
ORD100128,Books,525.98,1,46,Female,City11,Credit Card,Next-Day,13.98,4.8,4.5,0,New,1352,525.98
ORD100129,Clothing,4305.19,2,23,Male,City56,Debit Card,Express,19.24,4.4,4.2,2,New,2662,8610.38
ORD100130,Toys,3856.64,3,22,Male,City3,Credit Card,Standard,17.13,4.0,5.0,0,Frequent,167,11569.92
ORD100131,Electronics,56589.38,1,54,Male,City76,Gift Card,Next-Day,5.46,4.4,4.9,1,Loyal,1375,56589.38
ORD100132,Books,1707.2,2,56,Male,City6,Credit Card,Express,8.67,3.0,3.4,3,New,798,3414.4
ORD100133,Electronics,64310.84,1,62,Female,City48,PayPal,Next-Day,8.94,3.4,3.3,9,Frequent,2663,64310.84
ORD100134,Home,25629.21,2,20,Female,City70,Credit Card,Express,12.72,5.0,4.6,1,Regular,393,51258.42
ORD100135,Books,1198.37,1,27,Male,City26,Gift Card,Standard,9.79,3.9,4.0,3,New,960,1198.37
ORD100136,Electronics,104843.25,4,19,Female,City14,Debit Card,Express,19.75,3.8,4.0,4,New,2303,419373.0
ORD100137,Toys,8160.39,1,27,Male,City50,Credit Card,Standard,35.76,4.1,3.1,2,Regular,1281,8160.39
ORD100138,Electronics,31150.56,4,32,Male,City44,Debit Card,Next-Day,15.61,3.3,3.0,9,Regular,2461,124602.24
ORD100139,Clothing,5562.46,2,46,Female,City27,Credit Card,Express,36.44,4.1,4.3,2,Frequent,2350,11124.92
ORD100140,Books,207.13,4,21,Female,City32,Credit Card,Express,7.53,3.6,3.2,5,Regular,425,828.52
ORD100141,Home,9224.22,5,68,Female,City61,Gift Card,Standard,28.16,3.7,3.3,8,Regular,1155,46121.1
ORD100142,Clothing,3878.8,1,33,Female,City34,Gift Card,Express,38.05,3.0,3.5,7,Frequent,361,3878.8
ORD100143,Electronics,107408.76,4,50,Female,City17,Credit Card,Express,12.61,4.5,5.0,0,Regular,1592,429635.04
ORD100144,Electronics,62684.7,1,24,Female,City11,Debit Card,Standard,5.27,4.3,4.1,1,New,1584,62684.7
ORD100145,Toys,8935.67,3,60,Male,City57,Credit Card,Express,38.46,3.1,3.1,2,Frequent,1621,26807.01
ORD100146,Clothing,5472.72,2,58,Female,City90,PayPal,Express,33.11,4.1,4.3,3,New,1590,10945.44
ORD100147,Clothing,1109.7,3,59,Female,City29,Gift Card,Next-Day,36.45,4.2,4.2,3,Frequent,4815,3329.1
ORD100148,Clothing,2277.38,3,53,Female,City79,PayPal,Express,36.56,4.3,4.9,2,Regular,957,6832.14
ORD100149,Toys,6232.38,1,31,Female,City77,Gift Card,Express,19.99,4.2,4.4,1,Regular,324,6232.38
ORD100150,Toys,5044.61,4,32,Male,City12,Credit Card,Express,28.36,4.8,4.6,0,Regular,501,20178.44
ORD100151,Books,1124.51,2,23,Female,City37,PayPal,Next-Day,19.01,4.1,2.8,2,Loyal,1228,2249.02
ORD100152,Toys,5819.3,1,42,Male,City40,Gift Card,Next-Day,34.59,4.2,4.8,1,Regular,1896,5819.3
ORD100153,Home,26543.12,1,18,Female,City81,Debit Card,Standard,13.14,3.9,5.0,0,Regular,2000,26543.12
ORD100154,Clothing,5587.84,1,20,Female,City2,PayPal,Express,41.21,3.6,4.2,9,Regular,2430,5587.84
ORD100155,Electronics,115601.69,3,42,Male,City56,Credit Card,Express,7.38,4.3,4.3,3,Regular,522,346805.07
ORD100156,Books,607.28,4,66,Female,City43,Credit Card,Express,10.18,3.5,2.8,2,Loyal,613,2429.12
ORD100157,Home,3230.17,5,28,Female,City26,Gift Card,Express,12.79,3.9,5.0,3,Regular,2325,16150.85
ORD100158,Books,1494.21,5,40,Male,City94,Debit Card,Standard,12.99,3.9,4.0,3,Frequent,385,7471.05
ORD100159,Books,1590.23,5,69,Male,City4,Credit Card,Next-Day,18.69,4.8,4.1,2,New,1393,7951.15
ORD100160,Clothing,3771.25,4,40,Male,City62,PayPal,Express,46.99,3.3,2.8,1,New,1092,15085.0
ORD100161,Clothing,4873.81,2,19,Female,City81,Debit Card,Standard,42.37,3.3,2.9,3,New,1506,9747.62
ORD100162,Books,801.12,2,57,Female,City47,Gift Card,Standard,8.38,4.9,4.4,2,Regular,1428,1602.24
ORD100163,Toys,687.27,5,40,Female,City6,Credit Card,Next-Day,34.67,4.2,3.2,7,Frequent,937,3436.35
ORD100164,Toys,3775.6,4,22,Male,City73,PayPal,Express,38.2,3.8,3.4,7,Frequent,1933,15102.4
ORD100165,Electronics,79710.89,1,37,Female,City62,Debit Card,Next-Day,19.49,4.5,3.3,3,Frequent,2675,79710.89
ORD100166,Books,1185.42,5,69,Male,City36,Debit Card,Express,6.23,3.0,3.0,2,Regular,675,5927.1
ORD100167,Books,1178.95,1,42,Male,City90,Credit Card,Next-Day,13.23,4.1,4.3,1,Regular,871,1178.95
ORD100168,Books,322.64,5,51,Female,City66,Debit Card,Express,12.73,3.2,3.0,3,Frequent,198,1613.2
ORD100169,Toys,7953.51,3,19,Female,City96,Credit Card,Express,39.87,4.3,4.4,0,Frequent,1113,23860.53
ORD100170,Books,1037.53,5,24,Female,City58,PayPal,Express,18.37,4.5,2.9,7,New,1461,5187.65
ORD100171,Clothing,2186.69,5,32,Male,City93,Gift Card,Standard,47.61,3.8,4.1,9,Regular,2167,10933.45
ORD100172,Home,17610.48,2,28,Female,City95,PayPal,Express,14.52,3.7,3.8,5,Frequent,2098,35220.96
ORD100173,Toys,9653.53,3,43,Female,City29,Gift Card,Express,31.75,4.3,3.5,2,Regular,1555,28960.59
ORD100174,Toys,4055.47,5,39,Male,City35,Credit Card,Standard,15.55,2.9,3.8,7,Frequent,132,20277.35
ORD100175,Toys,8847.73,2,49,Female,City21,PayPal,Next-Day,37.19,4.8,4.9,2,Regular,865,17695.46
ORD100176,Clothing,2474.29,1,24,Female,City75,Debit Card,Next-Day,33.2,2.9,4.0,3,New,2764,2474.29
ORD100177,Electronics,25893.09,5,67,Female,City73,PayPal,Next-Day,5.74,4.2,4.9,3,Regular,2278,129465.45
ORD100178,Toys,7365.12,4,26,Female,City61,PayPal,Next-Day,33.72,5.0,4.9,0,Regular,680,29460.48
ORD100179,Books,854.0,2,59,Male,City71,Gift Card,Express,5.61,4.5,3.8,1,Regular,302,1708.0
ORD100180,Electronics,109800.28,5,61,Male,City23,Gift Card,Standard,9.86,3.1,2.8,8,New,2593,549001.4
ORD100181,Clothing,4889.06,1,54,Female,City39,Debit Card,Standard,36.04,4.4,4.1,2,Regular,2326,4889.06
ORD100182,Electronics,39232.04,5,56,Female,City40,PayPal,Standard,18.51,4.2,2.8,1,Regular,1574,196160.2
ORD100183,Clothing,1357.67,4,41,Male,City27,Credit Card,Express,31.92,4.0,3.2,9,Regular,4652,5430.68
ORD100184,Toys,7136.09,3,56,Female,City92,Credit Card,Next-Day,19.81,4.4,2.9,5,Regular,341,21408.27
ORD100185,Toys,3055.31,4,34,Female,City79,Debit Card,Express,24.15,4.5,3.2,6,Frequent,1171,12221.24
ORD100186,Books,777.85,4,25,Male,City100,Gift Card,Standard,12.06,4.6,4.7,2,Regular,1255,3111.4
ORD100187,Clothing,1658.5,3,61,Male,City10,PayPal,Next-Day,16.42,3.8,3.4,9,Regular,2562,4975.5
ORD100188,Home,1796.81,1,56,Male,City6,PayPal,Next-Day,13.59,3.2,2.8,7,New,231,1796.81
ORD100189,Clothing,5677.64,2,36,Female,City33,Debit Card,Standard,24.52,3.9,2.8,7,Frequent,3374,11355.28
ORD100190,Clothing,5545.27,1,36,Male,City66,Debit Card,Express,40.88,4.2,4.2,3,Regular,2357,5545.27
ORD100191,Books,219.13,3,62,Female,City45,Debit Card,Express,14.82,4.7,4.3,2,New,70,657.39
ORD100192,Toys,1765.27,1,55,Male,City61,Gift Card,Express,15.25,2.9,3.7,7,Loyal,1404,1765.27
ORD100193,Clothing,1519.91,4,27,Male,City43,Credit Card,Next-Day,20.31,4.6,4.1,3,New,898,6079.64
ORD100194,Home,22871.6,3,32,Female,City40,Credit Card,Standard,25.28,4.2,4.7,0,Regular,1073,68614.8
ORD100195,Clothing,1102.14,2,20,Female,City4,Credit Card,Express,37.31,3.6,3.7,6,Regular,4346,2204.28
ORD100196,Home,8195.71,4,24,Male,City14,PayPal,Next-Day,31.86,4.7,4.0,1,Frequent,333,32782.84
ORD100197,Electronics,49128.57,5,51,Male,City74,Credit Card,Express,14.35,3.0,2.7,1,Loyal,2265,245642.85
ORD100198,Electronics,26031.96,4,63,Male,City69,Debit Card,Standard,16.83,4.6,4.0,3,Regular,2344,104127.84
ORD100199,Home,23771.06,5,44,Female,City32,Credit Card,Next-Day,25.42,4.6,4.7,0,Regular,990,118855.3
ORD100200,Home,16939.3,1,45,Male,City6,Gift Card,Standard,23.95,4.2,4.6,1,Regular,1915,16939.3
ORD100201,Clothing,546.38,5,62,Female,City75,Credit Card,Next-Day,17.76,4.3,4.4,3,New,1435,2731.9
ORD100202,Electronics,81033.84,1,19,Male,City93,Gift Card,Next-Day,10.43,4.8,4.1,3,Loyal,1475,81033.84
ORD100203,Electronics,55356.72,2,33,Female,City21,Credit Card,Express,7.56,4.8,4.8,2,New,1194,110713.44
ORD100204,Clothing,2811.5,4,60,Male,City26,Credit Card,Express,20.56,4.8,4.3,3,Loyal,221,11246.0
ORD100205,Clothing,4907.15,5,37,Male,City12,Gift Card,Express,15.88,2.9,2.6,4,Frequent,4455,24535.75
ORD100206,Home,6503.21,4,68,Male,City98,Credit Card,Next-Day,13.2,4.1,4.0,1,Regular,1122,26012.84
ORD100207,Toys,5983.37,1,19,Male,City93,PayPal,Standard,34.51,4.4,4.9,0,Regular,1523,5983.37
ORD100208,Home,13099.99,5,54,Male,City43,Debit Card,Express,24.58,4.1,4.0,0,Frequent,685,65499.95
ORD100209,Electronics,26223.33,3,64,Male,City100,Debit Card,Standard,17.65,4.6,5.0,0,Frequent,2520,78669.99
ORD100210,Electronics,36695.56,5,68,Female,City37,Gift Card,Standard,11.12,3.4,4.0,8,New,2124,183477.8
ORD100211,Clothing,5872.3,1,60,Female,City70,Credit Card,Express,18.26,5.0,4.7,1,Loyal,3381,5872.3
ORD100212,Books,1068.43,2,67,Female,City59,Debit Card,Next-Day,14.68,2.8,3.1,3,Frequent,586,2136.86
ORD100213,Toys,1906.77,5,69,Male,City2,Debit Card,Next-Day,22.53,3.7,3.8,2,Regular,1018,9533.85
ORD100214,Electronics,104283.15,3,51,Female,City90,Debit Card,Standard,15.26,4.3,3.4,9,Frequent,2473,312849.45
ORD100215,Books,1928.8,1,36,Female,City27,PayPal,Standard,17.19,3.0,4.0,6,New,873,1928.8
ORD100216,Toys,478.76,1,66,Female,City66,Credit Card,Next-Day,13.86,4.5,4.1,3,Regular,1849,478.76
ORD100217,Toys,788.22,1,53,Male,City25,PayPal,Next-Day,25.17,4.3,4.4,1,Regular,1932,788.22
ORD100218,Toys,2597.93,1,61,Female,City95,PayPal,Next-Day,10.78,3.8,5.0,1,Regular,1244,2597.93
ORD100219,Clothing,564.98,2,29,Female,City21,PayPal,Express,42.23,4.8,4.8,0,Regular,3880,1129.96
ORD100220,Clothing,5686.68,3,52,Male,City7,Gift Card,Standard,27.47,4.5,3.0,3,Regular,207,17060.04
ORD100221,Clothing,2974.75,3,37,Male,City64,Gift Card,Standard,15.31,4.2,4.1,7,Frequent,2916,8924.25
ORD100222,Toys,636.78,4,64,Male,City22,Debit Card,Next-Day,36.17,3.7,4.2,5,Regular,289,2547.12
ORD100223,Home,16406.95,2,28,Female,City48,Credit Card,Express,16.67,4.6,4.3,2,Frequent,2411,32813.9
ORD100224,Clothing,1210.97,2,64,Male,City23,Credit Card,Express,47.49,4.5,3.1,4,Frequent,1471,2421.94
ORD100225,Home,7825.13,3,21,Male,City74,PayPal,Standard,10.4,4.4,2.9,3,Regular,983,23475.39
ORD100226,Books,357.34,5,61,Male,City78,Gift Card,Standard,14.68,3.9,4.7,3,Loyal,612,1786.7
ORD100227,Books,982.91,4,50,Male,City7,PayPal,Standard,8.62,4.0,4.8,3,Regular,798,3931.64
